id,group,abbr,url,criterion,criterion_name,delivered_code,admissible_code,n_declared_single_per_site,f_declared_single_per_site,f_over_n,consistent_with_nf,evaluator_code,date,inspected_node,documents_criterion,correction_type,justification
7,mundo,UC Berkeley,https://www.berkeley.edu,1.1.1,contenido no textual,1,1,17,0,0,si,D01,2026-08-25,"img con alt=""A scientist wearing a blue lab coat that reads 'university of california' on the left arm stands holding a pipette before machine."", loading=lazy, en el bloque 'Our research improves lives'",SI,NINGUNA,"Una captura de un elemento que cumple no demuestra que f sea 0 en el resto de la muestra. El codigo se mantiene tal como se entrego, sin quedar confirmado."
7,mundo,UC Berkeley,https://www.berkeley.edu,1.4.3,contraste minimo AA,1,1,17,0,0,si,D01,2026-08-25,body.home.wp-singular.page-template...; el panel de estilos muestra la lista de variables --wp--preset--color--*,NO,NINGUNA,Sin ningun valor medido no hay nada que contradiga ni que confirme el codigo. Queda sin verificar.
7,mundo,UC Berkeley,https://www.berkeley.edu,2.4.4,proposito del enlace en su contexto,1,1,17,0,0,si,D01,2026-08-25,"a.button.button--cta con href a news.berkeley.edu/2025/09/15/no-1-again-uc-berkeley-generates-more-startups-and-founders-than-any-other-university/ y texto 'Learn more', precedido del h2 'Creating more venture-backed startups than any other university in the world.'",SI,NINGUNA,2.4.4 admite que el proposito se determine por el contexto programatico del enlace. Lo mostrado es compatible con el codigo 1.
14,mundo,UCL,https://www.ucl.ac.uk,1.1.1,contenido no textual,0,0,27,22,0.8148,si,D01,2026-08-25,a.link.link--overlay.link--large.link--accent con href a /students/support-and-wellbeing-services y texto 'How we support our students',NO,NINGUNA,"La captura no respalda el f=22 declarado, pero tampoco lo refuta. No hay correccion derivable de su propia evidencia."
14,mundo,UCL,https://www.ucl.ac.uk,1.4.3,contraste minimo AA,1,1,27,22,0.8148,NO,D01,2026-08-25,a.link.link--large.link--accent con href a /about/our-people; estilos con color: var(--c-s-text-brand-inverse),NO,NINGUNA,Sin valor medido no hay correccion derivable. Queda sin verificar.
14,mundo,UCL,https://www.ucl.ac.uk,2.4.4,proposito del enlace en su contexto,1,1,27,22,0.8148,NO,D01,2026-08-25,div.spotlight__content.col-12.col-lg-6; estilos con la paleta --ucl-*,NO,NINGUNA,Sin ningun enlace inspeccionado no hay correccion derivable. Queda sin verificar.
83,ecuador,UNESUM,https://unesum.edu.ec,1.1.1,contenido no textual,0,0,20,11,0.55,si,D01,2026-08-25,"a.elementor-element...e-con.e-parent.e-lazyloaded con data-settings={""background_background"":""classic""} y href a /la-unesum-fortalece-la-cooperacion-interinstitucional...; la imagen es fondo CSS, no un img",PARCIAL,NINGUNA,El patron mostrado no basta para declarar un fallo: la tarjeta tiene texto visible que puede operar como alternativa. No hay correccion derivable.
83,ecuador,UNESUM,https://unesum.edu.ec,1.4.3,contraste minimo AA,P,P,20,11,0.55,NO,D01,2026-08-25,el mismo tipo de nodo a.elementor-element...; estilos con background-image: url(.../2026/08/UnesumQue...),NO,NINGUNA,Sin valor medido no hay correccion derivable. Queda sin verificar.
83,ecuador,UNESUM,https://unesum.edu.ec,2.4.4,proposito del enlace en su contexto,0,0,20,11,0.55,si,D01,2026-08-25,h4.elementor-heading-title.elementor-size-default con el texto 'En linea',NO,NINGUNA,Sin ningun enlace inspeccionado no hay correccion derivable. Queda sin verificar.
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.1.1,contenido no textual,0,0,10,8,0.8,si,D01,2026-08-25,"div.absolute.inset-0.rounded-2xl.ring-2.ring-transparent.transition-all.duration-500 con aria-hidden=""true""",NO,NINGUNA,"Lo mostrado no es un fallo de 1.1.1 sino la practica recomendada, pero tampoco refuta el f=8 declarado sobre otros elementos. No hay correccion derivable."
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.4.3,contraste minimo AA,1,1,10,8,0.8,NO,D01,2026-08-25,div.relative.mx-auto.w-full.max-w-7xl.px-6.lg:px-8; estilos con reglas de padding,NO,NINGUNA,Sin valor medido no hay correccion derivable. Queda sin verificar.
95,ecuador,USECIPOL,https://usecipol.edu.ec,2.4.4,proposito del enlace en su contexto,1,1,10,8,0.8,NO,D01,2026-08-25,"el mismo div.absolute.inset-0...aria-hidden=""true"" de la captura de 1.1.1",NO,NINGUNA,Sin ningun enlace inspeccionado no hay correccion derivable. Queda sin verificar.
96,ecuador,IAEN,https://www.iaen.edu.ec,1.1.1,contenido no textual,0,0,15,7,0.4667,si,D01,2026-08-25,img.attachment-full.size-full.wp-image-16990.lazy.entered.loaded con alt vacio y src Captura-de-pantalla-2026-06-05-a-las-1.57.36-p.-m.png,SI,CONFIRMA,Al probar f mayor o igual que 1 su propia captura descarta el codigo 1. El codigo 0 que declaro es compatible con lo mostrado y con el recuento del sitio.
96,ecuador,IAEN,https://www.iaen.edu.ec,1.4.3,contraste minimo AA,1,1,15,7,0.4667,NO,D01,2026-08-25,"div.elementor-background-slideshow__slide.swiper-slide con aria-label=""1 / 2"" y opacity: 0",NO,NINGUNA,Sin valor medido no hay correccion derivable. Queda sin verificar.
96,ecuador,IAEN,https://www.iaen.edu.ec,2.4.4,proposito del enlace en su contexto,1,EXCLUIDO,15,7,0.4667,NO,D01,2026-08-25,a.swiper-slide-inner con href a docs.google.com/forms/d/e/[ID]/viewform cuyo unico texto es el div.elementor-button 'Clic aqui',SI,CORRIGE,"El codigo 1 exige f=0, de modo que su propia captura lo descarta. Para separar P de 0 hace falta un recuento del criterio, que no entrego; con el unico recuento que declaro para el sitio (n=15, f=7, cociente 0,467) el codigo resultante es 0."
