id,group,abbr,url,criterion,date,extraction_utc,total_detected,n,f,f_over_n,code,failing_elements,evaluator_code,notes
7,mundo,UC Berkeley,https://www.berkeley.edu,1.1.1,2026-09-01,05:07:12,20,20,1,0.05,P,3,R01,"Elemento 3 con alt truncado: 'A scientist wearing a blue lab coat that reads', sin indicar el texto de la prenda. Elementos 5-10 con alt='' dentro de enlaces con titular propio. Elementos 11, 12, 16-19 son imagenes de ambientacion en tarjetas con encabezado y descripcion. Extraccion verificada sin extensiones del navegador con resultado identico a la pasada previa."
14,mundo,UCL,https://www.ucl.ac.uk,1.1.1,2026-09-01,05:41:12,26,20,0,0.0,1,,R01,"Todos los elementos con alt no vacio. Elementos 8, 19 y 20 usan nomenclatura interna del gestor de contenidos ('visual', 'feb26') pero el texto contiguo transmite el contenido. Elemento 1 en enlace con texto propio 'Navigate back to homepage'. Extraccion repetida sin extensiones del navegador con resultado identico (26 elementos detectados, mismos alt en los 20 de la muestra)."
15,mundo,Cornell,https://www.cornell.edu,1.1.1,2026-09-01,06:12:12,16,16,0,0.0,1,,R01,"Muestra completa sin recorte. Elemento 16 con errata en el alt ('To do he greatest good') sin perdida de informacion. Elementos 7-14 con alt descriptivo dentro de enlaces con aria-label='Social Media Directory': posible problema de 2.4.4, no de 1.1.1. La imagen principal del carrusel no aparece en la muestra por ser fondo CSS. Extraccion repetida sin extensiones del navegador: mismo total (16), misma estructura y mismos codigos. El elemento 2 cambio de noticia entre la lectura previa y la registrada en extraction_utc, evidencia directa de rotacion de contenido; el elemento sustituto tambien tiene alt descriptivo y no altera f."
22,mundo,NUS,https://nus.edu.sg,1.1.1,2026-09-01,06:40:12,22,20,1,0.05,P,2,R01,"Elemento 2 (search.jpg) con alt='' dentro de enlace href='#' sin texto ni aria-label: sin nombre accesible. En una primera lectura devolvio [SIN alt] y en la segunda alt='': el icono cambia al interactuar. Elementos 16-20 (iconos de redes) usan alt='' con aria-label en la imagen, alternativa valida."
29,mundo,Northwestern,https://www.northwestern.edu,1.1.1,2026-09-01,07:09:12,31,20,0,0.0,1,,R01,"Todos los elementos con alt no vacio. Elementos 3-8 usan alt breves ('Laptop', 'Child') dentro de tarjetas cuyo titular visible queda en un enlace hermano: valido para 1.1.1, posible problema de 2.4.4."
40,mundo,Manchester,https://www.manchester.ac.uk,1.1.1,2026-09-01,07:37:12,13,13,0,0.0,1,,R01,"Muestra completa sin recorte. Uso correcto de alt='' con aria-hidden='true' en decorativas (3, 4) y de alt descriptivo del destino en iconos de redes (8-13)."
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,2026-09-01,08:12:12,53,20,3,0.15,P,"9, 15, 16",R01,"Elemento 9 tiene como alt una URL completa y no hay texto contiguo: la informacion se pierde. Elementos 15 y 16 son fondos decorativos con alt que nombra el rol del archivo ('facts_bg', 'hkust firsts background') en vez de usar alt=''. Elementos 17 y 20 tienen alt pobres pero el texto contiguo transmite el contenido."
83,ecuador,UNESUM,https://unesum.edu.ec,1.1.1,2026-09-01,08:44:12,34,20,11,0.55,0,1-11,R01,Elementos 1-11 son imagenes de contenido (221x221 a 367x144 px) con alt='' y sin aria-label ni texto contiguo: sin alternativa textual. El 1 es el escudo institucional dentro de un enlace sin nombre accesible. Elementos 12-20 son div con role='img' y aria-label descriptivo: alternativa valida aunque de calidad irregular.
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.1.1,2026-09-01,09:17:12,21,20,4,0.2,P,"4, 5, 6, 7",R01,"Elementos 4-7 ('Escudo pieza 1' a 'pieza 4', de 53x53 a 242x242 px) son fragmentos decorativos sin texto contiguo cuyo alt no describe contenido; el escudo institucional ya esta descrito en el elemento 3. Elemento 14 declara 'Patron decorativo', preferible alt='' pero sin perdida. Cociente exactamente en el umbral de 0,20."
96,ecuador,IAEN,https://www.iaen.edu.ec,1.1.1,2026-09-01,09:43:12,17,17,16,0.9412,0,1-16,R01,"Doce banners de 1300x642 px (elementos 2-13) con aria-label que reproducen nombres de archivo de herramientas generativas ('ChatGPT Image 24 jun 2026, 10_44_26 a.m.', 'Firefly_Gemini Flash...') o el digito '1'. El texto contiguo es 'Clic aqui' repetido, sin contenido sustitutivo. Elemento 1 es el logotipo institucional con alt='' sin aria-label. Elementos 14-16 son SVG de 150x150 a 413x142 px sin alternativa ni texto cercano."
